Date,AgeAdult,AgeMax,BatchMode,DNAFill,DenunciationCost,DifferentialCosts,DishonestPremium,DisplayPeriod,DumpStart,EraseNetwork,FriendshipValue,GeneCoding,GeneLength,GroupMinSize,HonoringCost,JoiningBonus,Judas,MaxFriends,MutationRate,NbCrossover,NbInteractions,NbTraitors,NumberOfGroups,PopulationSize,ReproGainsThreshold,ReproductionRate,ResultDir,Rounds,SacrificeHeredity,SampleSize,ScenarioName,SelectionPressure,Selectivity,StartFromFile,TimeLimit,Title,LastStep,Patriot,NonPatriot,Demand,SelfSacrifice,NbHeroes
190325180344,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,32,7,31,2,6
190325180348,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,33,6,32,2,6
190325181045,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,51,3,41,2,6
190325181048,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,38,5,37,2,6
190325181049,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,30,7,31,2,6
190325181051,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,28,7,31,2,6
190325181055,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,32,5,31,2,6
190325181058,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,52,2,50,2,6
190325181105,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,33,6,32,2,6
190325181108,0,40,1,0,100,1,500,10,5000,0,10,Weighted,8,0,100,10,25,10,5,1,100,60,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,33,7,33,1,6
