Date,Admiration,AgeMax,MutationRate,PopulationSize,ReproGainsThreshold,ReproductionRate,SacrificeHeredity,Selectivity,TimeLimit,SelfSacrifice,NbHeroes
190322141222,5,40,5,1000,10,5,25,10,10000,0,6
190322142017,5,40,5,1000,10,5,25,10,10000,0,5
190322142207,5,40,5,1000,10,5,25,10,10000,0,5
190322142250,5,40,5,1000,10,5,25,10,10000,0,5
190322140740,5,40,5,1000,10,5,50,10,10000,0,6
190322143845,5,40,5,1000,10,5,50,10,10000,0,6
190322140947,5,40,5,1000,10,5,100,10,10000,0,2
190322140724,10,40,5,1000,10,5,0,10,10000,0,4
190322140822,10,40,5,1000,10,5,0,10,10000,0,4
190322141136,10,40,5,1000,10,5,0,10,10000,0,4
190322142627,10,40,5,1000,10,5,0,10,10000,0,4
190322140652,10,40,5,1000,10,5,25,10,10000,0,9
190322140708,10,40,5,1000,10,5,25,10,10000,0,9
190322141558,10,40,5,1000,10,5,25,10,10000,0,9
190322142117,10,40,5,1000,10,5,25,10,10000,0,9
190322140853,10,40,5,1000,10,5,50,10,10000,0,10
190322140907,10,40,5,1000,10,5,50,10,10000,0,9
190322141920,10,40,5,1000,10,5,50,10,10000,0,9
190322140756,10,40,5,1000,10,5,75,10,10000,0,8
190322141335,10,40,5,1000,10,5,75,10,10000,0,8
190322140738,10,40,5,1000,10,5,100,10,10000,0,8
190322140849,10,40,5,1000,10,5,100,10,10000,0,8
190322141301,10,40,5,1000,10,5,100,10,10000,0,9
190322141311,10,40,5,1000,10,5,100,10,10000,0,8
190322140656,20,40,5,1000,10,5,0,10,10000,0,4
190322140710,20,40,5,1000,10,5,0,10,10000,0,4
190322140744,20,40,5,1000,10,5,0,10,10000,0,3
190322141232,20,40,5,1000,10,5,0,10,10000,0,4
190322143859,20,40,5,1000,10,5,0,10,10000,0,5
190322143900,20,40,5,1000,10,5,0,10,10000,0,4
190322140802,20,40,5,1000,10,5,25,10,10000,1,11
190322140832,20,40,5,1000,10,5,25,10,10000,1,11
190322140842,20,40,5,1000,10,5,25,10,10000,0,10
190322140927,20,40,5,1000,10,5,25,10,10000,0,10
190322141243,20,40,5,1000,10,5,25,10,10000,0,11
190322142647,20,40,5,1000,10,5,25,10,10000,0,11
190322142724,20,40,5,1000,10,5,25,10,10000,0,10
190322142734,20,40,5,1000,10,5,25,10,10000,0,10
190322140728,20,40,5,1000,10,5,50,10,10000,1,12
190322140806,20,40,5,1000,10,5,50,10,10000,1,12
190322140959,20,40,5,1000,10,5,50,10,10000,0,10
190322141316,20,40,5,1000,10,5,50,10,10000,1,11
190322142244,20,40,5,1000,10,5,50,10,10000,1,10
190322140716,20,40,5,1000,10,5,75,10,10000,0,10
190322140754,20,40,5,1000,10,5,75,10,10000,0,10
190322140901,20,40,5,1000,10,5,75,10,10000,0,9
190322141314,20,40,5,1000,10,5,75,10,10000,0,10
190322141837,20,40,5,1000,10,5,75,10,10000,0,10
190322140714,20,40,5,1000,10,5,100,10,10000,0,8
190322142954,20,40,5,1000,10,5,100,10,10000,0,9
190322143022,20,40,5,1000,10,5,100,10,10000,0,9
190322140722,50,40,5,1000,10,5,0,10,10000,0,4
190322140732,50,40,5,1000,10,5,0,10,10000,0,4
190322140734,50,40,5,1000,10,5,0,10,10000,0,4
190322141318,50,40,5,1000,10,5,0,10,10000,0,4
190322142205,50,40,5,1000,10,5,0,10,10000,0,4
190322140706,50,40,5,1000,10,5,25,10,10000,1,11
190322140816,50,40,5,1000,10,5,25,10,10000,1,11
190322140824,50,40,5,1000,10,5,25,10,10000,1,12
190322141302,50,40,5,1000,10,5,25,10,10000,1,11
190322140933,50,40,5,1000,10,5,50,10,10000,1,12
190322141140,50,40,5,1000,10,5,50,10,10000,1,13
190322140654,50,40,5,1000,10,5,75,10,10000,1,12
190322140726,50,40,5,1000,10,5,75,10,10000,1,12
190322140746,50,40,5,1000,10,5,75,10,10000,1,11
190322140810,50,40,5,1000,10,5,75,10,10000,1,11
190322140917,50,40,5,1000,10,5,75,10,10000,1,12
190322141247,50,40,5,1000,10,5,75,10,10000,1,12
190322142832,50,40,5,1000,10,5,75,10,10000,1,13
190322143117,50,40,5,1000,10,5,75,10,10000,1,14
190322143432,50,40,5,1000,10,5,75,10,10000,1,13
190322144038,50,40,5,1000,10,5,75,10,10000,1,12
190322140702,50,40,5,1000,10,5,100,10,10000,0,7
190322140742,50,40,5,1000,10,5,100,10,10000,0,8
190322141741,50,40,5,1000,10,5,100,10,10000,0,9
190322140913,100,40,5,1000,10,5,0,10,10000,0,4
190322142700,100,40,5,1000,10,5,0,10,10000,0,4
190322140700,100,40,5,1000,10,5,25,10,10000,1,11
190322140704,100,40,5,1000,10,5,25,10,10000,1,14
190322142445,100,40,5,1000,10,5,25,10,10000,1,12
190322141422,100,40,5,1000,10,5,50,10,10000,1,13
190322143651,100,40,5,1000,10,5,50,10,10000,1,13
190322140857,100,40,5,1000,10,5,75,10,10000,1,12
190322141251,100,40,5,1000,10,5,75,10,10000,1,12
190322141715,100,40,5,1000,10,5,75,10,10000,1,13
190322142000,100,40,5,1000,10,5,75,10,10000,1,13
190322142008,100,40,5,1000,10,5,75,10,10000,1,13
190322142407,100,40,5,1000,10,5,75,10,10000,1,16
190322143926,100,40,5,1000,10,5,75,10,10000,1,13
190322140718,100,40,5,1000,10,5,100,10,10000,0,7
190322140752,100,40,5,1000,10,5,100,10,10000,0,9
