Date;AgeAdult;AgeMax;BatchMode;DNAFill;DenunciationCost;DifferentialCosts;DisplayPeriod;DumpStart;EraseNetwork;FriendshipValue;GeneCoding;GeneLength;GroupMinSize;HonoringCost;JoiningBonus;Judas;MaxFriends;MaxOffer;MutationRate;NbCrossover;NbInteractions;NbTraitors;NumberOfGroups;PopulationSize;ReproGainsThreshold;ReproductionRate;ResultDir;Rounds;SacrificeHeredity;SampleSize;ScenarioName;SelectionPressure;Selectivity;StartFromFile;TimeLimit;Title;LastStep;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
190325181628;0;40;1;0;0;0;10;5000;0;0;Weighted;8;0;100;20;40;10;50;5;1;100;40;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;68;43;55;2;8
190325181652;0;40;1;0;200;0;10;5000;0;10;Weighted;8;0;100;15;30;10;50;5;1;100;90;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;51;16;50;1;5
190325181854;0;40;1;0;100;0;10;5000;0;5;Weighted;8;0;100;5;10;50;5;1;100;0;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;0;0;0;0;1
190325181857;0;40;1;0;200;0;10;5000;0;20;Weighted;8;0;100;0;10;10;50;5;1;100;80;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;0;0;69;0;2
190325181936;0;40;1;0;0;0;10;5000;0;15;Weighted;8;0;100;20;0;10;50;5;1;100;30;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;2;2;0;0;1
190325181945;0;40;1;0;200;0;10;5000;0;0;Weighted;8;0;100;10;40;10;50;5;1;100;10;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;70;5;74;2;6
190325182155;0;40;1;0;0;0;10;5000;0;20;Weighted;8;0;100;5;50;10;50;5;1;100;70;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;17;3;1;1;4
190325183138;0;40;1;0;100;0;10;5000;0;15;Weighted;8;0;100;15;20;10;50;5;1;100;60;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;51;15;50;1;5
190325183401;0;40;1;0;100;0;10;5000;0;0;Weighted;8;0;100;10;50;10;50;5;1;100;50;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;66;9;69;2;6
190325183411;0;40;1;0;0;0;10;5000;0;10;Weighted;8;0;100;20;40;10;50;5;1;100;50;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;11;2;0;0;3
190325183618;0;40;1;0;200;0;10;5000;0;5;Weighted;8;0;100;0;20;10;50;5;1;100;70;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;0;0;69;0;2
190325183712;0;40;1;0;100;0;10;5000;0;5;Weighted;8;0;100;5;10;10;50;5;1;100;20;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;5;1;53;1;3
